signatur;titel;laufzeit;geo_koordinate_x;geo_koordinate_y
11404;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1913;52.403987;9.584031
11501;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1912;52.4054;9.800702
11745;Widerlager zum Sperrtor bei Lohnde;1913;52.399018;9.562437
11642;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.406099;9.793975
11504;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1912;52.405729;9.798923
11534;Ablagerung von Baggerboden im Altwarmbüchener Moor, Hannover-Misburg;1913;52.425618;9.894642
11581;Station 53 und 50 Grundstücke der Ziegelei Plass, Garbsen;1915;52.411169;9.590214
11496;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1911;52.403337;9.815862
11667;Dükerbau am Eilenriedegraben, Hannover;1915;52.406083;9.773786
11631;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.411306;9.728559
11494;Brücke am Klein-Buchholzer Koppelweg, Hannover-Klein Buchholz;1910;52.403337;9.815862
11779;Eiseneinlagen der Sohle und Kammerwände der Leineaufstiegsschleuse, Hannover-Limmer;1913;52.378279;9.681568
11819;Brückenbauarbeiten im Unterhaupt der Aufstiegsschleuse, Hannover-Limmer;1914;52.378279;9.681568
11757;Abzweigstelle der Leineverlegung mit Transportbrücke und Fangdamm, Hannover-Limmer;1913;52.3794;9.692694
11437;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.404225;9.583517
11441;Baustelle und verschiedene Bauabschnitte der Kanalflutbrücke über die Leine bei Seelze;1914;52.404225;9.583517
11673;Dükerbau am Lister Koppelweg, Hannover-List;1915;52.40494;9.754425
11485;Brücke Spannhagenstrasse, Hannover-Klein Buchholz;1910;52.406455;9.781282
11671;Dükerbau am Lister Koppelweg, Hannover-List;1915;52.40494;9.754425
11448;Grundstück Biermann südlich der Brücke Nr. 112, Garbsen;1915;52.409719;9.596495
11814;Leineauslass im Hauptkanal bei Lohnde;1914;52.401414;9.57408
11407;Baustelle der Kanalhauptbrücke über die Leine bei Seelze;1914;52.404225;9.583517
11873;Verschlammung der Nadelbocknische und der angrenzenden Felder bei der Flutbrücke im Leinetal;1928;52.403603;9.574631
11896;Umbau des Leineauslasses km 150,7 bei Lohnde;1928;52.401414;9.57408
11655;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1914;52.406196;9.793541
11791;Herstellung des Sturzbettes und der Pfeiler der Herrenhäuser Wehranlage, Hannover-Herrenhausen;1913;52.422831;9.656755
11722;Widerlager und Feldwegunterführung der Strecke Hannover-Wunstorf bei Lohnde;1912;52.39996;9.568505
11983;Unterhaupt des Riegener Dükers D 206;1938;;
11861;Brücke Nr. 111;1915;52.334458;8.635308
11508;Brücke an der Podbielskistrasse, Hannover-Bothfeld;1916;52.405705;9.799
11920;Schaummassen im Leinearm (Kläranlage Königsworther Strasse), Hannover-Calenberger Neustadt;1932;52.378115;9.717335
11720;Ã–stliches Widerlager bei Lohnde mit der Ãœberführung der Verbindungsbahn Seelze - Hannover-Vinnhorst;1912;52.404159;9.583792
11658;Dükerbau des Schiffgrabens, Hannover-Klein Buchholz;1915;52.406248;9.79288
11848;Erdrutschungen des Zweigkanals bei Harenberg;1914;52.389844;9.621605
11635;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.411306;9.728559
11600;Moorhoffsche Wiese, Havelse;1915;52.407801;9.595045
11740;Fertiger eiserner Ãœberbau der Eisenbahnbrücke bei Lohnde;1912;52.398685;9.559541
